num_distr,mouse.time,mouse.clicked_name,,,
5,1.4308875,[],,,
5,1.3883063,[],,,
5,1.5781669,[],,,
10,1.6747131,[],,,
5,2.526978,[],,,
10,3.7503222,['target'],,,
5,1.895396,['target'],,,
5,1.4914688,['target'],,,
5,1.3497606,['target'],,,
5,1.5100404,['target'],,,
5,1.463637,['target'],,,
10,2.0250715,['target'],,,
5,2.1319722,['target'],,,
5,2.2566264,['target'],,,
10,1.4565216,['target'],,,
10,2.4540826,['target'],,,
5,2.7098234,['target'],,,
10,2.1464656,['target'],,,
10,1.7187893,['target'],,,
10,1.6063696,['target'],,,
10,3.2595667,['target'],,,
5,1.5784302,['target'],,,
5,1.7433284,['target'],,,
10,1.8284751,['target'],,,
10,2.3396969,['target'],,,
5,1.5515307,['target'],,,
5,2.2709614,['target'],,,
5,1.8970392,['target'],,,
5,2.0815317,['target'],,,
5,1.4506033,['target'],,,
5,2.2327169,['target'],,,
5,1.532349,['target'],,,
10,1.4700604,['target'],,,
10,1.5509245,['target'],,,
10,2.101992,['target'],,,
10,2.6744459,['target'],,,
10,5.7866153,['target'],,,
10,2.0593591,['target'],,,
10,1.6933883,['target'],,,
5,1.9700995,['target'],,,
10,2.4020047,['target'],,,
5,2.5636621,['target'],,,
5,1.6980827,['target'],,,
10,1.6130387,['target'],,,
10,1.5746416,['target'],,,
10,1.9544446,['target'],,,
5,1.4879834,['target'],,,
10,1.6296379,['target'],,,
10,1.6766926,['target'],,,
5,1.65303,['target'],,,
5,1.6804607,['target'],,,
5,2.1489876,['target'],,,
5,2.0536293,['target'],,,
5,2.4579602,['target'],,,
10,5.5592671,['target'],,,
5,1.7872905,['target'],,,
5,1.4948024,['target'],,,
10,1.5068424,['target'],,,
5,1.6112361,['target'],,,
10,3.0363969,['target'],,,
5,2.0021545,['target'],,,
10,1.5757358,['target'],,,
5,1.8144319,['target'],,,
5,1.8154747,['target'],,,
10,2.5059292,[],,,
5,1.7984815,[],,,
5,2.6153893,[],,,
10,2.310182,[],,,
10,2.5749784,[],,,
5,2.2071182,[],,,
5,1.9350312,[],,,
5,2.2399313,[],,,
10,2.0494989,['target'],,,
10,1.6207646,['target'],,,
5,2.4991106,['target'],,,
5,1.8117392,['target'],,,
5,2.211449,['target'],,,
5,1.5089451,['target'],,,
5,1.7127397,['target'],,,
5,2.3511666,['target'],,,
5,2.2355,['target'],,,
10,1.8001804,['target'],,,
5,1.8185439,['target'],,,
10,1.582256,['target'],,,
10,1.5964206,['target'],,,
10,2.6700486,['target'],,,
5,1.8473204,['target'],,,
10,2.2951278,['target'],,,
5,2.1735568,['target'],,,
10,1.85442,['target'],,,
10,1.5495107,['target'],,,
10,2.824397,['target'],,,
10,1.731315,['target'],,,
,,,,,
mean RT (overall),,,,,
mean RT  (size 5),,,,,
mean RT (size 10),,,,,
